station_id,rain,name_th,name_en,province,lat,long
95,434.3,หัวหิน,HUA HIN,ประจวบคีรีขันธ์,12.58611111,99.9625
96,486.85,หนองพลับ สกษ.,NONG PHLUB AGROMET.,ประจวบคีรีขันธ์,12.58333333,99.73333333
97,3201.85,ตราด,TRAD,ตราด,11.76666667,102.8833333
98,1306.06,ชุมพร,CHUMPHON,ชุมพร,10.49875,99.18847222
99,1189.4,สวี สกษ.,SAWI AGROMET.,ชุมพร,10.33333333,99.1
100,2334.64,ระนอง,RANONG,ระนอง,9.983333333,98.61666667
101,849.28,สุราษฎร์ธานี,SURAT THANI,สุราษฎร์ธานี,9.135555556,99.15194444
102,1165.06,เกาะสมุย,KO SAMUI,สุราษฎร์ธานี,9.466666667,100.05
103,1368.73,สุราษฎร์ธานี สกษ.,SURAT THANI AGROMET.,สุราษฎร์ธานี,9.1,99.63333333
104,882.2,พระแสง สอท.,PHRA SANG,สุราษฎร์ธานี,8.570222222,99.25825
105,1534.74,นครศรีธรรมราช,NAKHONSI THAMMARAT,นครศรีธรรมราช,8.537777778,99.94722222
106,1400.71,นครศรีธรรมราช สกษ.,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช,8.359305556,100
107,1073.54,ฉวาง,CHAWANG,นครศรีธรรมราช,8.424722222,99.50666667
108,1500.08,พัทลุง สกษ.,PHATTHALUNG AGROMET.,พัทลุง,7.583333333,100.1666667
109,2047,ตะกั่วป่า,TAKUA PA,พังงา,8.684166667,98.25222222
110,1119.74,ภูเก็ต,PHUKET,ภูเก็ต,7.883333333,98.4
111,1558.29,ภูเก็ต (ศูนย์ฯ),PHUKET AIRPORT,ภูเก็ต,8.145,98.31444444
112,1090.05,เกาะลันตา,KO LANTA,กระบี่,7.533333333,99.05
113,929.4,กระบี่,KRABI,กระบี่,8.103611111,98.97527778
114,1385.44,ตรัง,TRANG AIRPORT,ตรัง,7.516666667,99.61666667
115,1514.01,คอหงษ์ สกษ.,KHO HONG AGROMET.,สงขลา,7,100.5
116,891.42,สะเดา,SA DAO,สงขลา,6.798055556,100.3905556
117,1095.33,สงขลา,SONGKHLA,สงขลา,7.182111111,100.6076944
118,967.19,หาดใหญ่,HAT YAI AIRPORT,สงขลา,6.916666667,100.4333333
119,1180,สตูล,SATUN,สตูล,6.65,100.0833333
120,1188.81,ปัตตานี,PATTANI AIRPORT,ปัตตานี,6.783333333,101.15
121,1594.39,ยะลา สกษ.,YALA AGROMET.,ยะลา,6.516666667,101.2833333
122,2030.9,นราธิวาส,NARATHIWAT,นราธิวาส,6.416666667,101.8166667
124,435.65,อุทัยธานี,,อุทัยธานี,15.37416667,100.0388889
125,1832.83,นครนายก,,นครนายก,14.21666667,101.3833333
129,542.49,สมุทรสงคราม,,สมุทรสงคราม,13.40777778,100.0322222
